"censusdate","month","day","year","treatment","plot","stake","species","sex","reprod","age","testes","vagina","pregnant","nipples","lactation","hfl","wgt","tag","note2","ltag","note3"
1977-07-16,7,18,1977,"control",23,71,"DM","M","Z",NA,NA,NA,NA,NA,NA,35,NA,"0",NA,"0",NA
1977-07-16,7,18,1977,"control",19,77,"DM","M",NA,NA,"S",NA,NA,NA,NA,35,NA,"0",NA,"0",NA
1977-08-19,8,19,1977,"control",3,13,"DM","M","Z",NA,NA,NA,NA,NA,NA,35,40,"0",NA,"0",NA
1977-08-19,8,19,1977,"control",4,25,"DM","F",NA,NA,NA,"S",NA,NA,NA,34,29,"0",NA,"0",NA
1977-08-19,8,19,1977,"control",4,26,"DM","F",NA,NA,NA,NA,NA,"R",NA,35,46,"0",NA,"0",NA
1977-08-19,8,19,1977,"control",3,64,"DS","F","Z",NA,NA,NA,NA,NA,NA,44,NA,"0",NA,"0",NA
1977-08-19,8,19,1977,"control",4,75,"PF","F",NA,NA,NA,"S",NA,NA,NA,14,8,"0",NA,"0",NA
1977-08-19,8,19,1977,"control",4,77,"DM","F",NA,NA,NA,NA,NA,"R",NA,35,41,"0",NA,"0",NA
1977-08-19,8,20,1977,"control",19,12,"DM","F",NA,NA,NA,"S",NA,"R",NA,35,43,"0",NA,"0",NA
1977-08-19,8,20,1977,"control",23,12,"DM","F",NA,NA,NA,NA,NA,"R",NA,35,41,"0",NA,"0",NA
1977-08-19,8,20,1977,"control",11,24,"DS","F","Z",NA,NA,NA,NA,NA,NA,50,NA,"0",NA,"0",NA
1977-08-19,8,20,1977,"control",23,31,"DM","M",NA,NA,"S",NA,NA,NA,NA,38,46,"0",NA,"0",NA
1977-08-19,8,20,1977,"control",11,47,"DM","M",NA,NA,"S",NA,NA,NA,NA,37,45,"0",NA,"0",NA
1977-08-19,8,20,1977,"control",23,53,"DM","F",NA,NA,NA,NA,NA,"R",NA,35,40,"0",NA,"0",NA
1977-08-19,8,20,1977,"control",11,56,"DS","M","Z",NA,NA,NA,NA,NA,NA,43,NA,"0",NA,"0",NA
1977-08-19,8,20,1977,"control",19,56,"DM","M","Z",NA,NA,NA,NA,NA,NA,35,39,"0",NA,"0",NA
1977-08-19,8,20,1977,"control",11,62,"PP","M","Z",NA,NA,NA,NA,NA,NA,21,NA,"0",NA,"0",NA
1977-08-19,8,20,1977,"control",10,64,"DS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"0",NA
1977-08-19,8,20,1977,"control",11,67,"DM","F",NA,NA,NA,NA,NA,"R","L",37,42,"0",NA,"0",NA
1977-08-19,8,20,1977,"control",23,67,"DM","M",NA,NA,"S",NA,NA,NA,NA,37,42,"0",NA,"0",NA
1977-08-19,8,21,1977,"control",15,12,"DM","F",NA,"J",NA,NA,NA,NA,NA,32,NA,"0",NA,"0",NA
1977-08-19,8,21,1977,"control",21,12,"DM","M","Z",NA,NA,NA,NA,NA,NA,34,NA,"0",NA,"0",NA
1977-08-19,8,21,1977,"control",17,16,"DM","M","Z",NA,NA,NA,NA,NA,NA,33,NA,"0",NA,"0",NA
1977-08-19,8,21,1977,"control",15,25,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"0",NA
1977-08-19,8,21,1977,"control",17,31,"DM","M",NA,NA,"S",NA,NA,NA,NA,37,NA,"0",NA,"0",NA
1977-08-19,8,21,1977,"control",14,32,"DM","M",NA,NA,"S",NA,NA,NA,NA,36,NA,"0",NA,"0",NA
1977-08-19,8,21,1977,"control",14,34,"DM","M","Z",NA,NA,NA,NA,NA,NA,33,NA,"0",NA,"0",NA
1977-08-19,8,21,1977,"control",15,34,"DM","M",NA,"J",NA,NA,NA,NA,NA,34,NA,"0",NA,"0",NA
1977-08-19,8,21,1977,"control",14,36,"DM","F",NA,NA,NA,NA,NA,"R",NA,34,NA,"0",NA,"0",NA
1977-08-19,8,21,1977,"control",16,37,"DM","F","Z",NA,NA,NA,NA,NA,NA,34,NA,"0",NA,"0",NA
1977-08-19,8,21,1977,"control",15,42,"DM","M",NA,NA,"S",NA,NA,NA,NA,37,NA,"0",NA,"0",NA
1977-08-19,8,21,1977,"control",17,43,"DS","F","Z",NA,NA,NA,NA,NA,NA,45,NA,"0",NA,"0",NA
1977-08-19,8,21,1977,"control",15,45,"DM","F","Z",NA,NA,NA,NA,NA,NA,35,NA,"0",NA,"0",NA
1977-08-19,8,21,1977,"control",14,52,"PF","M",NA,NA,"S",NA,NA,NA,NA,15,NA,"0",NA,"0",NA
1977-08-19,8,21,1977,"control",16,57,"DM","M",NA,NA,"R",NA,NA,NA,NA,36,NA,"0",NA,"0",NA
1977-08-19,8,21,1977,"control",17,61,"DM","F","Z",NA,NA,NA,NA,NA,NA,34,NA,"0",NA,"0",NA
1977-08-19,8,21,1977,"control",15,63,"DM","M",NA,NA,"S",NA,NA,NA,NA,35,NA,"0",NA,"0",NA
1977-08-19,8,21,1977,"control",15,64,"DS","M",NA,NA,"S",NA,NA,NA,NA,40,NA,"0",NA,"0",NA
1977-08-19,8,21,1977,"control",14,72,"DM","M",NA,NA,"S",NA,NA,NA,NA,37,NA,"0",NA,"0",NA
1977-08-19,8,21,1977,"control",21,75,"DM","M",NA,NA,"S",NA,NA,NA,NA,35,NA,"0",NA,"0",NA
1977-08-19,8,21,1977,"control",14,76,"DM","M","Z",NA,NA,NA,NA,NA,NA,38,NA,"0",NA,"0",NA
1977-08-19,8,21,1977,"control",16,76,"DS","F","Z",NA,NA,NA,NA,NA,NA,50,NA,"0",NA,"0",NA
1977-08-19,8,21,1977,"control",21,77,"DM","M","Z",NA,NA,NA,NA,NA,NA,35,NA,"0",NA,"0",NA
1977-09-11,9,11,1977,"control",21,16,"DM","M","Z",NA,NA,NA,NA,NA,NA,37,NA,"0",NA,"0",NA
1977-09-11,9,11,1977,"control",19,24,"DS","F","Z",NA,NA,NA,NA,NA,NA,50,NA,"0",NA,"0",NA
1977-09-11,9,11,1977,"control",19,55,"DM","M",NA,NA,"R",NA,NA,NA,NA,33,40,"0",NA,"0",NA
1977-09-11,9,11,1977,"control",21,74,"DS","M",NA,NA,"R",NA,NA,NA,NA,49,NA,"0",NA,"0",NA
1977-09-11,9,11,1977,"control",19,77,"DM","F","Z",NA,NA,NA,NA,NA,NA,34,35,"0",NA,"0",NA
1977-09-11,9,12,1977,"control",17,13,"DM","M",NA,NA,"R",NA,NA,NA,NA,36,46,"0",NA,"0",NA
1977-09-11,9,12,1977,"control",14,22,"DS","F","Z",NA,NA,NA,NA,NA,NA,48,NA,"0",NA,"0",NA
1977-09-11,9,12,1977,"control",17,25,"DM","F",NA,NA,NA,"S",NA,"R",NA,33,37,"0",NA,"0",NA
1977-09-11,9,12,1977,"control",17,32,"DS","M","Z",NA,NA,NA,NA,NA,NA,47,NA,"0",NA,"0",NA
1977-09-11,9,12,1977,"control",4,33,"DM","F",NA,NA,NA,NA,NA,"R",NA,36,45,"0",NA,"0",NA
1977-09-11,9,12,1977,"control",11,36,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"0",NA
1977-09-11,9,12,1977,"control",4,37,"DS","M","Z",NA,NA,NA,NA,NA,NA,50,NA,"0",NA,"0",NA
1977-09-11,9,12,1977,"control",14,47,"DM","M",NA,NA,"S",NA,NA,NA,NA,37,51,"0",NA,"0",NA
1977-09-11,9,12,1977,"control",4,52,"DM","M","Z",NA,NA,NA,NA,NA,NA,35,39,"0",NA,"0",NA
1977-09-11,9,12,1977,"control",11,53,"DM","M","Z",NA,NA,NA,NA,NA,NA,36,29,"0",NA,"0",NA
1977-09-11,9,12,1977,"control",17,55,"DS","F","Z",NA,NA,NA,NA,NA,NA,52,NA,"0",NA,"0",NA
1977-09-11,9,12,1977,"control",10,56,"DS","M",NA,NA,"S",NA,NA,NA,NA,47,NA,"0",NA,"0",NA
1977-09-11,9,12,1977,"control",17,56,"DM","F",NA,NA,NA,"S",NA,"R",NA,32,48,"0",NA,"0",NA
1977-09-11,9,12,1977,"control",11,57,"DM","M",NA,NA,"S",NA,NA,NA,NA,38,46,"0",NA,"0",NA
1977-09-11,9,12,1977,"control",16,57,"DM","F",NA,NA,NA,NA,NA,"R",NA,37,41,"0",NA,"0",NA
1977-09-11,9,12,1977,"control",16,63,"DS","M",NA,NA,"S",NA,NA,NA,NA,50,NA,"0",NA,"0",NA
1977-09-11,9,12,1977,"control",23,64,"DS","F","Z",NA,NA,NA,NA,NA,NA,52,NA,"0",NA,"0",NA
1977-09-11,9,12,1977,"control",16,65,"DS","F","Z",NA,NA,NA,NA,NA,NA,53,NA,"0",NA,"0",NA
1977-09-11,9,12,1977,"control",14,72,"DM","M",NA,NA,"R",NA,NA,NA,NA,37,45,"0",NA,"0",NA
1977-09-11,9,12,1977,"control",17,72,"DM","F",NA,NA,NA,NA,NA,"R",NA,35,42,"0",NA,"0",NA
1977-09-11,9,12,1977,"control",11,73,"DM","F",NA,NA,NA,NA,"P",NA,NA,36,53,"0",NA,"0",NA
1977-09-11,9,12,1977,"control",4,74,"DS","F",NA,NA,NA,NA,NA,"E",NA,48,NA,"0",NA,"0",NA
1977-09-11,9,12,1977,"control",16,74,"PF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"0",NA
1977-09-11,9,12,1977,"control",14,75,"DM","F",NA,NA,NA,"S",NA,NA,NA,35,49,"0",NA,"0",NA
1977-09-11,9,12,1977,"control",17,75,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"0",NA
1977-09-11,9,12,1977,"control",14,76,"DM","F","Z",NA,NA,NA,NA,NA,NA,36,46,"0",NA,"0",NA
1977-09-11,9,12,1977,"control",4,77,"PF","F",NA,NA,NA,NA,NA,"R",NA,13,9,"0",NA,"0",NA
1977-09-11,9,13,1977,"control",3,11,"PP","F","Z",NA,NA,NA,NA,NA,NA,19,15,"0",NA,"0",NA
1977-09-11,9,13,1977,"control",3,14,"DM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"0",NA
1977-09-11,9,13,1977,"control",15,26,"DM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"0",NA
1977-09-11,9,13,1977,"control",15,32,"DM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"0",NA
1977-09-11,9,13,1977,"control",15,43,"DM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"0",NA
1977-09-11,9,13,1977,"control",15,44,"DS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"0",NA
1977-09-11,9,13,1977,"control",3,72,"DS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"0",NA
1977-10-16,10,17,1977,"control",17,11,"DM","M","Z",NA,NA,NA,NA,NA,NA,38,41,"0",NA,"0",NA
1977-10-16,10,17,1977,"control",17,14,"DM","M",NA,"J",NA,NA,NA,NA,NA,37,48,"0",NA,"0",NA
1977-10-16,10,17,1977,"control",14,15,"DM","M",NA,NA,"S",NA,NA,NA,NA,38,47,"0",NA,"0",NA
1977-10-16,10,17,1977,"control",17,15,"DM","F","Z",NA,NA,NA,NA,NA,NA,33,NA,"0",NA,"0",NA
1977-10-16,10,17,1977,"control",11,16,"DS","F","Z",NA,NA,NA,NA,NA,NA,47,NA,"0",NA,"0",NA
1977-10-16,10,17,1977,"exclosure",3,22,"DO","F",NA,NA,NA,"S",NA,NA,NA,36,33,"0",NA,"0",NA
1977-10-16,10,17,1977,"control",4,23,"DM","F","Z",NA,NA,NA,NA,NA,NA,36,42,"0",NA,"0",NA
1977-10-16,10,17,1977,"exclosure",3,24,"DO","F",NA,NA,NA,NA,"P",NA,NA,37,50,"0",NA,"0",NA
1977-10-16,10,17,1977,"control",11,24,"DM","M","Z",NA,NA,NA,NA,NA,NA,36,41,"0",NA,"0",NA
1977-10-16,10,17,1977,"control",17,25,"OT",NA,NA,NA,NA,NA,NA,NA,NA,18,21,"0",NA,"0",NA
1977-10-16,10,17,1977,"control",11,26,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"0",NA
1977-10-16,10,17,1977,"exclosure",19,26,"DM","M",NA,NA,"S",NA,NA,NA,NA,36,49,"0",NA,"0",NA
1977-10-16,10,17,1977,"control",17,32,"OT","M","Z",NA,NA,NA,NA,NA,NA,19,NA,"0",NA,"0",NA
1977-10-16,10,17,1977,"control",14,33,"DS","F","Z",NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"0",NA
1977-10-16,10,17,1977,"control",17,33,"DS","F","Z",NA,NA,NA,NA,NA,NA,48,NA,"0",NA,"0",NA
1977-10-16,10,17,1977,"exclosure",19,35,"DM","F",NA,NA,NA,NA,NA,"R",NA,36,44,"0",NA,"0",NA
1977-10-16,10,17,1977,"exclosure",3,36,"DM","M",NA,"J",NA,NA,NA,NA,NA,36,31,"0",NA,"0",NA
1977-10-16,10,17,1977,"exclosure",21,41,"DM","M",NA,NA,"S",NA,NA,NA,NA,37,40,"0",NA,"0",NA
1977-10-16,10,17,1977,"control",14,42,"DM","F","Z",NA,NA,NA,NA,NA,NA,35,40,"0",NA,"0",NA
1977-10-16,10,17,1977,"removal",16,42,"DM","M",NA,"J",NA,NA,NA,NA,NA,33,23,"0",NA,"0",NA
1977-10-16,10,17,1977,"exclosure",19,46,"DM","M","Z",NA,NA,NA,NA,NA,NA,36,42,"0",NA,"0",NA
1977-10-16,10,17,1977,"control",4,51,"DS","F","Z",NA,NA,NA,NA,NA,NA,48,NA,"0",NA,"0",NA
1977-10-16,10,17,1977,"control",17,51,"DS","M","Z",NA,NA,NA,NA,NA,NA,49,NA,"0",NA,"0",NA
1977-10-16,10,17,1977,"control",11,52,"DS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"0",NA
1977-10-16,10,17,1977,"exclosure",19,52,"RM","M",NA,NA,"S",NA,NA,NA,NA,18,13,"0",NA,"0",NA
1977-10-16,10,17,1977,"control",11,53,"DM","F","Z",NA,NA,NA,NA,NA,NA,36,42,"0",NA,"0",NA
1977-10-16,10,17,1977,"exclosure",19,53,"DM","M",NA,"J",NA,NA,NA,NA,NA,35,31,"0",NA,"0",NA
1977-10-16,10,17,1977,"control",14,55,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"0",NA
1977-10-16,10,17,1977,"exclosure",3,62,"DM","M",NA,"J",NA,NA,NA,NA,NA,36,39,"0",NA,"0",NA
1977-10-16,10,17,1977,"exclosure",15,62,"DM","M",NA,NA,"S",NA,NA,NA,NA,37,48,"0",NA,"0",NA
1977-10-16,10,17,1977,"control",17,65,"DO","F",NA,NA,NA,"S",NA,NA,NA,32,48,"0",NA,"0",NA
1977-10-16,10,17,1977,"control",17,66,"DM","M",NA,"J",NA,NA,NA,NA,NA,33,29,"0",NA,"0",NA
1977-10-16,10,17,1977,"control",14,72,"DM","M",NA,NA,"R",NA,NA,NA,NA,36,45,"0",NA,"0",NA
1977-10-16,10,17,1977,"control",17,72,"DM","F","Z",NA,NA,NA,NA,NA,NA,35,39,"0",NA,"0",NA
1977-10-16,10,17,1977,"control",17,74,"OL","F",NA,NA,NA,NA,NA,NA,"L",NA,23,"0",NA,"0",NA
1977-10-16,10,17,1977,"control",4,75,"DS","F","Z",NA,NA,NA,NA,NA,NA,47,NA,"0",NA,"0",NA
1977-10-16,10,17,1977,"control",17,76,"DO","F",NA,NA,NA,"S",NA,NA,NA,33,31,"0",NA,"0",NA
1977-10-16,10,NA,1977,"removal",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1977-10-16,10,NA,1977,"removal",23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1977-11-12,11,13,1977,"control",14,12,"DM","M","Z",NA,NA,NA,NA,NA,NA,36,44,"4878",NA,"0",NA
1977-11-12,11,13,1977,"control",17,15,"DM","F","Z",NA,NA,NA,NA,NA,NA,33,38,"4881",NA,"0",NA
1977-11-12,11,13,1977,"control",17,16,"DS","F","Z",NA,NA,NA,NA,NA,NA,48,118,"4880",NA,"0",NA
1977-11-12,11,13,1977,"control",17,21,"DM","M","Z",NA,NA,NA,NA,NA,NA,37,40,"4872",NA,"0",NA
1977-11-12,11,13,1977,"control",11,22,"DS","F","Z",NA,NA,NA,NA,NA,NA,52,126,"4884",NA,"0",NA
1977-11-12,11,13,1977,"control",11,31,"DM","M","Z",NA,NA,NA,NA,NA,NA,36,37,"4883",NA,"0",NA
1977-11-12,11,13,1977,"control",17,32,"DS","M",NA,NA,"S",NA,NA,NA,NA,50,132,"4873",NA,"0",NA
1977-11-12,11,13,1977,"exclosure",21,35,"OL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"0",NA
1977-11-12,11,13,1977,"exclosure",21,42,"OL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"0",NA
1977-11-12,11,13,1977,"control",11,45,"DM","F","Z",NA,NA,NA,NA,NA,NA,36,39,"4882",NA,"0",NA
1977-11-12,11,13,1977,"control",14,46,"DS","F",NA,NA,NA,NA,"P",NA,NA,NA,113,"0",NA,"0",NA
1977-11-12,11,13,1977,"control",11,47,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"0",NA
1977-11-12,11,13,1977,"control",11,52,"PF","M","Z",NA,NA,NA,NA,NA,NA,15,7,"0",NA,"0",NA
1977-11-12,11,13,1977,"control",11,54,"DS","F","Z",NA,NA,NA,NA,NA,NA,53,122,"4845",NA,"0",NA
1977-11-12,11,13,1977,"control",14,54,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"0",NA
1977-11-12,11,13,1977,"control",4,57,"DS","F","Z",NA,NA,NA,NA,NA,NA,48,107,"4889",NA,"0",NA
1977-11-12,11,13,1977,"control",14,63,"DM","M","Z",NA,NA,NA,NA,NA,NA,36,43,"4876",NA,"0",NA
1977-11-12,11,13,1977,"control",14,64,"DM","F","Z",NA,NA,NA,NA,NA,NA,36,40,"4877",NA,"0",NA
1977-11-12,11,13,1977,"control",17,67,"RM","F","Z",NA,NA,NA,NA,NA,NA,16,7,"0",NA,"0",NA
1977-11-12,11,13,1977,"control",4,72,"DS","F","Z",NA,NA,NA,NA,NA,NA,50,115,"4886",NA,"0",NA
1977-11-12,11,13,1977,"control",17,72,"DM","F","Z",NA,NA,NA,NA,NA,NA,36,39,"4879",NA,"0",NA
1977-11-12,11,13,1977,"exclosure",21,73,"OL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"0",NA
1977-11-12,11,NA,1977,"exclosure",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1977-11-12,11,NA,1977,"removal",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1977-11-12,11,NA,1977,"exclosure",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1977-11-12,11,NA,1977,"removal",16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1977-11-12,11,NA,1977,"exclosure",19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1977-11-12,11,NA,1977,"removal",23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1977-12-10,12,11,1977,"control",14,12,"DM","M","Z",NA,NA,NA,NA,NA,NA,36,41,"4878",NA,"0",NA
1977-12-10,12,11,1977,"control",17,13,"DM","M","Z",NA,NA,NA,NA,NA,NA,36,40,"4872",NA,"0",NA
1977-12-10,12,11,1977,"control",4,15,"DS","M",NA,NA,"S",NA,NA,NA,NA,49,134,"4864",NA,"0",NA
1977-12-10,12,11,1977,"control",4,21,"DS","F","Z",NA,NA,NA,NA,NA,NA,51,118,"4886",NA,"0",NA
1977-12-10,12,11,1977,"control",11,22,"DM","M","Z",NA,NA,NA,NA,NA,NA,35,37,"4883",NA,"0",NA
1977-12-10,12,11,1977,"control",4,24,"PF","M","Z",NA,NA,NA,NA,NA,NA,15,6,"0",NA,"0",NA
1977-12-10,12,11,1977,"control",11,24,"DS","F",NA,NA,NA,"S",NA,NA,NA,49,127,"4884",NA,"0",NA
1977-12-10,12,11,1977,"exclosure",21,25,"OT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"0",NA
1977-12-10,12,11,1977,"control",11,27,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"0",NA
1977-12-10,12,11,1977,"control",17,32,"DS","F","Z",NA,NA,NA,NA,NA,NA,47,115,"4880",NA,"0",NA
1977-12-10,12,11,1977,"exclosure",3,34,"OT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"0",NA
1977-12-10,12,11,1977,"control",14,34,"DM","F","Z",NA,NA,NA,NA,NA,NA,36,40,"4426",NA,"0",NA
1977-12-10,12,11,1977,"control",14,35,"DS","F","Z",NA,NA,NA,NA,NA,NA,47,114,"4540",NA,"0",NA
1977-12-10,12,11,1977,"control",17,36,"DM","F","Z",NA,NA,NA,NA,NA,NA,35,37,"4881",NA,"0",NA
1977-12-10,12,11,1977,"control",17,41,"DM","M","Z",NA,NA,NA,NA,NA,NA,37,46,"4863",NA,"0",NA
1977-12-10,12,11,1977,"control",11,43,"DM","F","Z",NA,NA,NA,NA,NA,NA,37,38,"4882",NA,"0",NA
1977-12-10,12,11,1977,"control",11,45,"DS","M",NA,NA,"S",NA,NA,NA,NA,52,127,"4544",NA,"0",NA
1977-12-10,12,11,1977,"control",14,45,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"0",NA
1977-12-10,12,11,1977,"control",11,57,"OT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"0",NA
1977-12-10,12,11,1977,"control",14,63,"DM","M","Z",NA,NA,NA,NA,NA,NA,37,44,"4876",NA,"0",NA
1977-12-10,12,11,1977,"control",11,64,"DS","M",NA,NA,"S",NA,NA,NA,NA,48,138,"4861",NA,"0",NA
1977-12-10,12,11,1977,"control",4,65,"DS","F",NA,NA,NA,"S",NA,NA,NA,49,110,"4889",NA,"0",NA
1977-12-10,12,11,1977,"control",4,67,"OT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"0",NA
1977-12-10,12,11,1977,"control",17,67,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"0",NA
1977-12-10,12,11,1977,"control",17,71,"DM","F","Z",NA,NA,NA,NA,NA,NA,36,37,"4879",NA,"0",NA
1977-12-10,12,11,1977,"exclosure",3,73,"PF","M",NA,NA,"S",NA,NA,NA,NA,16,7,"0",NA,"0",NA
1977-12-10,12,11,1977,"control",11,76,"DS","F","Z",NA,NA,NA,NA,NA,NA,51,121,"4845",NA,"0",NA
1977-12-10,12,11,1977,"exclosure",21,76,"OT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"0",NA
1977-12-10,12,11,1977,"exclosure",21,76,"OT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"0",NA
1977-12-10,12,NA,1977,"removal",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1977-12-10,12,NA,1977,"exclosure",15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1977-12-10,12,NA,1977,"removal",16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1977-12-10,12,NA,1977,"exclosure",19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
