"censusdate","month","day","year","treatment","plot","stake","species","sex","reprod","age","testes","vagina","pregnant","nipples","lactation","hfl","wgt","tag","note2","ltag","note3"
1977-07-16,7,16,1977,"control",3,23,"NA","M","Z",NA,NA,NA,NA,NA,NA,33,NA,"0",NA,"0",NA
1977-07-16,7,16,1977,"control",3,26,"DM","M","Z",NA,NA,NA,NA,NA,NA,35,NA,"0",NA,"0",NA
1977-07-16,7,16,1977,"control",3,55,"DM","M","Z",NA,NA,NA,NA,NA,NA,35,NA,"0",NA,"0",NA
1977-07-16,7,16,1977,"control",4,66,"DM","F","Z",NA,NA,NA,NA,NA,NA,36,NA,"0",NA,"0",NA
1977-07-16,7,16,1977,"control",3,72,"DS","F","Z",NA,NA,NA,NA,NA,NA,48,NA,"0",NA,"0",NA
1977-07-16,7,16,1977,"control",4,76,"PF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"0",NA
1977-07-16,7,17,1977,"control",11,14,"DS","F","Z",NA,NA,NA,NA,NA,NA,48,NA,"0",NA,"0",NA
1977-07-16,7,17,1977,"control",14,15,"DM","F","Z",NA,NA,NA,NA,NA,NA,34,NA,"0",NA,"0",NA
1977-07-16,7,17,1977,"control",15,16,"NA","F","Z",NA,NA,NA,NA,NA,NA,31,NA,"0",NA,"0",NA
1977-07-16,7,17,1977,"control",15,36,"DM","M","Z",NA,NA,NA,NA,NA,NA,31,NA,"0",NA,"0",NA
1977-07-16,7,17,1977,"control",15,43,"DM","M",NA,NA,"S",NA,NA,NA,NA,36,NA,"0",NA,"0",NA
1977-07-16,7,17,1977,"control",11,45,"DM","M","Z",NA,NA,NA,NA,NA,NA,38,NA,"0",NA,"0",NA
1977-07-16,7,17,1977,"control",11,51,"PP","M","Z",NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"0",NA
1977-07-16,7,17,1977,"control",10,54,"DS","F","Z",NA,NA,NA,NA,NA,NA,52,NA,"0",NA,"0",NA
1977-07-16,7,17,1977,"control",15,54,"DM","F","Z",NA,NA,NA,NA,NA,NA,37,NA,"0",NA,"0",NA
1977-07-16,7,17,1977,"control",10,57,"DM","F","Z",NA,NA,NA,NA,NA,NA,35,NA,"0",NA,"0",NA
1977-07-16,7,17,1977,"control",11,62,"DM","F",NA,NA,NA,NA,NA,NA,"L",36,NA,"0",NA,"0",NA
1977-07-16,7,17,1977,"control",17,64,"DM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,"0",NA
1977-07-16,7,17,1977,"control",16,75,"OT","F",NA,NA,NA,NA,"P",NA,NA,22,NA,"0",NA,"0",NA
1977-07-16,7,17,1977,"control",11,76,"DM","F","Z",NA,NA,NA,NA,NA,NA,35,NA,"0",NA,"0",NA
1977-07-16,7,17,1977,"control",17,76,"NA","M","Z",NA,NA,NA,NA,NA,NA,33,NA,"0",NA,"0",NA
1977-07-16,7,17,1977,"control",11,77,"DM","F",NA,NA,NA,NA,NA,NA,"L",36,NA,"0",NA,"0",NA
1977-07-16,7,18,1977,"control",23,11,"DM","F","Z",NA,NA,NA,NA,NA,NA,34,NA,"0",NA,"0",NA
1977-07-16,7,18,1977,"control",21,14,"DM","M","Z",NA,NA,NA,NA,NA,NA,36,NA,"0",NA,"0",NA
1977-07-16,7,18,1977,"control",19,22,"DM","M",NA,NA,"R",NA,NA,NA,NA,35,NA,"0",NA,"0",NA
1977-07-16,7,18,1977,"control",21,31,"DM","F","Z",NA,NA,NA,NA,NA,NA,36,NA,"0",NA,"0",NA
1977-07-16,7,18,1977,"control",23,53,"DM","M",NA,NA,"R",NA,NA,NA,NA,36,NA,"0",NA,"0",NA
1977-07-16,7,18,1977,"control",19,64,"DM","M","Z",NA,NA,NA,NA,NA,NA,33,NA,"0",NA,"0",NA
1977-07-16,7,18,1977,"control",19,66,"PE","M","Z",NA,NA,NA,NA,NA,NA,20,NA,"0",NA,"0",NA
